,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
0,Man United,Leicester,1600,1802,2,1,H,0,0,0,0,0,0,M,0,6,4,11,8,2,5,2,1,0,0,1.57,3.9,7.5,3,20,1,M,0
1,Bournemouth,Cardiff,1600,1600,2,0,H,0,0,0,0,0,0,M,0,4,1,11,9,7,4,1,1,0,0,1.9,3.6,4.5,18,18,1,M,0
2,Fulham,Crystal Palace,1631,1690,0,2,A,0,0,0,0,0,0,M,0,6,9,9,11,5,5,1,2,0,0,2.5,3.4,3,13,18,1,M,0
3,Huddersfield,Chelsea,1600,1885,0,3,A,0,0,0,0,0,0,M,0,1,4,9,8,2,5,2,1,0,0,6.5,4,1.61,18,6,1,M,0
4,Newcastle,Tottenham,1500,1813,1,2,A,0,0,0,0,0,0,M,0,2,5,11,12,3,5,2,2,0,0,3.9,3.5,2.04,4,9,1,M,0
5,Watford,Brighton,1600,1696,2,0,H,0,0,0,0,0,0,M,0,5,0,10,16,8,2,2,2,0,0,2.37,3.2,3.4,18,18,1,M,0
6,Wolves,Everton,1757,1759,2,2,D,0,0,0,0,0,0,M,0,4,5,8,7,3,6,0,1,0,1,2.37,3.3,3.3,18,15,1,M,0
7,Arsenal,Man City,1830,2013,0,2,A,0,0,0,0,0,0,M,0,3,8,11,14,2,9,2,2,0,0,4,3.8,1.95,1,18,1,M,0
8,Liverpool,West Ham,1910,1804,4,0,H,0,0,0,0,0,0,M,0,8,2,14,9,5,4,1,2,0,0,1.25,6.5,14,2,7,1,M,0
9,Southampton,Burnley,1693,1711,0,0,D,0,0,0,0,0,0,M,0,3,6,10,9,8,5,0,1,0,0,1.85,3.5,5,11,18,1,M,0
10,Cardiff,Newcastle,1600,1500,0,0,D,0,1,2,2,0,0,L,0,1,6,14,16,5,5,2,2,0,1,3.25,3.1,2.54,18,4,2,L,0
11,Chelsea,Arsenal,1885,1830,3,2,H,3,0,0,2,3,0,W,5,11,6,12,9,5,1,0,2,0,0,1.8,4,4.5,6,1,2,W,5
12,Everton,Southampton,1759,1693,2,1,H,2,0,2,0,1,1,D,3,7,4,8,20,2,5,0,5,0,0,1.9,3.5,4.75,15,11,2,D,3
13,Leicester,Wolves,1802,1757,2,0,H,1,2,2,2,0,1,L,0,2,3,10,8,1,9,2,1,1,0,2.04,3.5,3.9,20,18,2,L,0
14,Tottenham,Fulham,1813,1631,3,1,H,2,0,1,2,3,0,W,5,11,3,9,5,5,2,0,0,0,0,1.28,6,12,9,13,2,W,5
15,West Ham,Bournemouth,1804,1600,1,2,A,0,2,4,0,0,3,L,0,5,5,14,10,6,4,6,2,0,0,2.1,3.6,3.7,7,18,2,L,0
16,Brighton,Man United,1696,1600,3,2,H,0,2,2,1,0,3,L,0,3,3,16,13,3,5,1,1,0,0,5.5,3.6,1.75,18,3,2,L,0
17,Burnley,Watford,1711,1600,1,3,A,0,2,0,0,1,3,D,3,3,6,8,19,5,2,1,2,0,0,2.45,3.1,3.4,18,18,2,D,3
18,Man City,Huddersfield,2013,1600,6,1,H,2,0,0,3,3,0,W,5,14,1,9,4,10,3,0,2,0,0,1.1,13,26,18,18,2,W,5
19,Crystal Palace,Liverpool,1690,1910,0,2,A,2,4,0,0,3,3,W,5,2,6,6,13,6,7,1,1,1,0,7,5,1.44,18,2,2,W,5
20,Arsenal,West Ham,1830,1804,3,1,H,2,1,5,6,0,0,L,0,10,5,16,13,10,2,1,3,0,0,1.36,5.5,9,1,7,3,L,0
21,Bournemouth,Everton,1600,1759,2,2,D,4,4,1,3,6,4,W,5,5,3,12,10,6,2,0,3,1,1,2.62,3.6,2.75,18,15,3,W,5
22,Huddersfield,Cardiff,1600,1600,0,0,D,1,0,9,2,0,1,L,0,1,4,8,10,7,7,0,1,1,0,2.37,3,3.7,18,18,3,L,0
23,Liverpool,Brighton,1910,1696,1,0,H,6,3,0,4,6,3,W,5,8,2,8,14,8,5,1,1,0,0,1.16,8.5,19,2,18,3,W,5
24,Southampton,Leicester,1693,1802,1,2,A,1,3,2,2,1,3,L,0,5,5,13,11,10,3,1,1,1,0,2.45,3.2,3.25,11,20,3,L,0
25,Wolves,Man City,1757,2013,1,1,D,2,8,4,1,1,6,L,0,2,6,13,8,5,9,1,2,0,0,11,6.5,1.28,18,18,3,L,0
26,Fulham,Burnley,1631,1711,4,2,H,1,1,5,3,0,1,L,0,12,2,11,8,6,4,2,1,0,0,2,3.4,4.33,13,18,3,L,0
27,Newcastle,Chelsea,1500,1885,1,2,A,1,6,2,2,1,6,D,3,2,3,16,8,4,5,3,1,0,0,5.75,4,1.66,4,6,3,D,3
28,Watford,Crystal Palace,1600,1690,2,1,H,5,2,1,2,6,3,W,5,5,3,14,11,6,3,4,2,0,0,2.6,3.25,3,18,18,3,W,5
29,Man United,Tottenham,1600,1813,0,3,A,4,5,4,2,3,6,L,0,5,5,11,16,5,2,2,4,0,0,2.62,3.3,2.9,3,9,3,L,0
30,Brighton,Fulham,1696,1631,2,2,D,3,5,5,7,3,3,L,0,5,5,12,14,7,1,3,3,0,0,2.3,3.4,3.4,18,13,4,L,0
31,Chelsea,Bournemouth,1885,1600,2,0,H,8,6,3,3,9,7,W,5,6,1,10,7,7,6,2,2,0,0,1.3,6,11,6,18,4,W,5
32,Crystal Palace,Southampton,1690,1693,0,2,A,3,2,4,4,3,1,L,0,6,6,11,12,7,4,1,1,0,0,2,3.5,4.2,18,11,4,L,0
33,Everton,Huddersfield,1759,1600,1,1,D,6,1,5,9,5,1,D,3,1,6,13,14,4,3,3,3,0,0,1.53,4.2,7.5,15,18,4,D,3
34,Leicester,Liverpool,1802,1910,1,2,A,5,7,3,0,6,9,W,5,5,4,9,12,4,4,3,2,0,0,7.5,5,1.44,20,2,4,W,5
35,Man City,Newcastle,2013,1500,2,1,H,9,2,2,4,7,1,D,3,8,2,5,13,4,0,0,0,0,0,1.11,11,26,18,4,4,D,3
36,West Ham,Wolves,1804,1757,0,1,A,2,3,9,5,0,2,L,0,3,6,10,11,4,4,2,1,0,0,2.6,3.4,2.87,7,18,4,L,0
37,Burnley,Man United,1711,1600,0,2,A,3,4,7,7,1,3,L,0,2,9,7,13,2,5,2,3,0,1,6,3.75,1.7,18,3,4,L,0
38,Cardiff,Arsenal,1600,1830,2,3,A,0,5,2,6,2,3,D,3,3,11,12,14,3,9,3,4,0,0,6.5,4.33,1.57,18,1,4,D,3
39,Watford,Tottenham,1600,1813,2,1,H,7,8,2,2,9,9,W,5,3,2,9,8,3,10,2,1,0,0,5.5,4.2,1.64,18,9,4,W,5
40,Bournemouth,Leicester,1600,1802,4,2,H,6,6,5,5,7,6,L,0,5,8,13,15,4,6,3,2,0,1,2.45,3.5,3,18,20,5,L,0
41,Chelsea,Cardiff,1885,1600,4,1,H,10,2,3,5,12,2,W,5,7,2,8,10,5,4,0,0,0,0,1.18,8,19,6,18,5,W,5
42,Huddersfield,Crystal Palace,1600,1690,0,1,A,2,3,10,6,2,3,D,3,2,2,11,17,5,3,1,2,0,0,3.3,3.1,2.5,18,18,5,D,3
43,Man City,Fulham,2013,1631,3,0,H,11,7,3,9,10,4,W,5,9,3,7,7,10,4,0,0,0,0,1.12,10,26,18,13,5,W,5
44,Newcastle,Arsenal,1500,1830,1,2,A,3,8,6,8,1,6,L,0,2,2,13,11,10,4,0,0,0,0,4.2,3.8,1.9,4,1,5,L,0
45,Tottenham,Liverpool,1813,1910,1,2,A,9,9,4,1,9,12,L,0,3,10,17,16,5,4,0,0,0,0,3,3.6,2.4,9,2,5,L,0
46,Watford,Man United,1600,1600,1,2,A,9,6,3,7,12,6,W,5,5,6,9,11,6,8,2,1,0,1,4.33,3.6,1.95,18,3,5,W,5
47,Everton,West Ham,1759,1804,1,3,A,7,2,6,10,6,0,D,3,4,4,15,12,4,2,2,5,0,0,2,3.75,3.9,15,7,5,D,3
48,Wolves,Burnley,1757,1711,1,0,H,4,3,5,9,5,1,W,5,7,2,10,9,8,2,2,4,0,0,1.75,3.6,5.75,18,18,5,W,5
49,Southampton,Brighton,1693,1696,2,2,D,4,5,4,7,4,4,W,5,5,4,10,13,1,4,2,3,0,0,2.1,3.4,3.9,11,18,5,W,5
50,Brighton,Tottenham,1696,1813,1,2,A,7,10,9,6,5,9,D,3,4,7,15,9,5,7,2,1,0,0,5,4,1.75,18,9,6,D,3
51,Burnley,Bournemouth,1711,1600,4,0,H,3,10,10,7,1,10,L,0,5,5,17,6,3,8,2,0,0,0,3,3.4,2.5,18,18,6,L,0
52,Cardiff,Man City,1600,2013,0,5,A,3,14,9,3,2,13,L,0,2,10,6,4,1,9,1,1,0,0,23,8,1.16,18,18,6,L,0
53,Crystal Palace,Newcastle,1690,1500,0,0,D,4,4,6,8,6,1,W,5,4,3,8,11,9,5,1,1,0,0,2.14,3.4,3.75,18,4,6,W,5
54,Fulham,Watford,1631,1600,1,1,D,7,10,12,5,4,12,L,0,3,6,11,9,8,8,2,1,0,0,2.54,3.5,2.9,13,18,6,L,0
55,Leicester,Huddersfield,1802,1600,3,1,H,8,2,9,11,6,2,L,0,8,2,10,16,3,1,2,1,0,0,1.61,4,6.5,20,18,6,L,0
56,Liverpool,Southampton,1910,1693,3,0,H,11,6,2,6,15,5,W,5,4,1,7,10,5,4,0,2,0,0,1.2,7.5,17,2,11,6,W,5
57,Man United,Wolves,1600,1757,1,1,D,8,5,8,5,9,8,W,5,6,8,5,17,5,4,1,1,0,0,1.57,4.33,6.5,3,18,6,W,5
58,Arsenal,Everton,1830,1759,2,0,H,10,8,9,9,9,6,W,5,5,6,17,12,5,9,2,1,0,0,1.44,5,7.5,1,15,6,W,5
59,West Ham,Chelsea,1804,1885,0,0,D,5,14,11,4,3,15,W,5,1,6,11,9,1,8,2,1,0,0,6,4.5,1.57,7,6,6,W,5
60,Arsenal,Watford,1830,1600,2,0,H,12,11,9,6,12,13,W,5,2,4,11,17,6,6,2,2,0,0,1.44,5.1,7,1,18,7,W,5
61,Chelsea,Liverpool,1885,1910,1,1,D,14,14,4,2,16,18,D,3,4,6,7,9,4,4,0,2,0,0,2.8,3.6,2.54,6,2,7,D,3
62,Everton,Fulham,1759,1631,3,0,H,8,8,11,13,6,5,L,0,6,0,13,13,12,1,0,3,0,0,1.75,4.2,4.75,15,13,7,L,0
63,Huddersfield,Tottenham,1600,1813,0,2,A,3,12,14,7,2,12,L,0,5,6,17,16,3,0,2,2,0,0,8.5,4.5,1.44,18,9,7,L,0
64,Man City,Brighton,2013,1696,2,0,H,19,8,3,11,16,5,W,5,8,1,4,10,10,3,0,3,0,0,1.1,12,34,18,18,7,W,5
65,Newcastle,Leicester,1500,1802,0,2,A,4,11,8,10,2,9,D,3,1,5,11,5,5,9,0,0,0,0,2.6,3.3,3,4,20,7,D,3
66,West Ham,Man United,1804,1600,3,1,H,5,9,11,9,4,10,D,3,3,4,12,12,4,9,0,1,0,0,4.5,3.8,1.85,7,3,7,D,3
67,Wolves,Southampton,1757,1693,2,0,H,6,6,6,9,9,5,D,3,6,6,11,7,8,6,3,1,0,0,1.8,3.6,5.25,18,11,7,D,3
68,Cardiff,Burnley,1600,1711,1,2,A,3,7,14,10,2,4,L,0,5,2,11,15,10,2,1,3,0,0,2.62,3,3.2,18,18,7,L,0
69,Bournemouth,Crystal Palace,1600,1690,2,1,H,10,4,11,6,10,7,L,0,5,2,9,12,3,3,3,4,0,0,2.25,3.5,3.4,18,18,7,L,0
70,Brighton,West Ham,1696,1804,1,0,H,8,8,13,12,5,7,L,0,4,4,12,8,2,9,3,2,0,0,2.7,3.3,2.87,18,7,8,L,0
71,Burnley,Huddersfield,1711,1600,1,1,D,9,3,11,16,7,2,W,5,3,2,8,11,1,10,2,2,0,0,2.14,3.1,4.2,18,18,8,W,5
72,Crystal Palace,Wolves,1690,1757,0,1,A,5,8,8,6,7,12,L,0,4,2,11,13,6,3,3,4,0,0,3,3.2,2.62,18,18,8,L,0
73,Leicester,Everton,1802,1759,1,2,A,13,11,10,11,12,9,W,5,2,8,10,11,2,10,2,1,1,0,2.2,3.4,3.6,20,15,8,W,5
74,Man United,Newcastle,1600,1500,3,2,H,10,4,12,10,10,2,L,0,10,8,16,8,10,6,2,2,0,0,1.44,4.5,9,3,4,8,L,0
75,Tottenham,Cardiff,1813,1600,1,0,H,14,4,7,16,15,2,W,5,7,6,7,11,6,2,2,1,0,1,1.22,7,15,9,18,8,W,5
76,Watford,Bournemouth,1600,1600,0,4,A,11,12,8,12,13,13,L,0,2,7,11,9,10,7,3,1,1,0,2.14,3.6,3.5,18,18,8,L,0
77,Fulham,Arsenal,1631,1830,1,5,A,8,14,16,9,5,15,L,0,4,7,11,12,4,2,2,0,0,0,5.25,4.33,1.66,13,1,8,L,0
78,Liverpool,Man City,1910,2013,0,0,D,15,21,3,3,19,19,D,3,2,2,10,10,2,6,1,3,0,0,2.54,3.6,2.8,2,18,8,D,3
79,Southampton,Chelsea,1693,1885,0,3,A,6,15,11,5,5,17,L,0,6,6,13,11,4,12,6,0,0,0,6,4.1,1.61,11,6,8,L,0
80,Bournemouth,Southampton,1600,1693,0,0,D,16,6,12,14,16,5,W,5,2,4,10,14,6,4,1,2,0,0,2.04,3.7,3.75,18,11,9,W,5
81,Cardiff,Fulham,1600,1631,4,2,H,4,9,17,21,2,5,L,0,5,4,15,16,4,4,3,3,0,0,2.5,3.5,2.95,18,13,9,L,0
82,Chelsea,Man United,1885,1600,2,2,D,18,13,5,14,20,13,W,5,6,4,9,17,5,3,2,5,0,0,1.75,3.8,5.25,6,3,9,W,5
83,Huddersfield,Liverpool,1600,1910,0,1,A,4,15,17,3,3,20,D,3,1,2,9,6,2,4,0,2,0,0,11,5.5,1.33,18,2,9,D,3
84,Man City,Burnley,2013,1711,5,0,H,21,10,3,12,20,8,D,3,10,0,11,5,10,1,2,2,0,0,1.08,13,34,18,18,9,D,3
85,Newcastle,Brighton,1500,1696,0,1,A,6,9,13,13,2,8,L,0,6,2,13,17,10,2,0,2,0,0,2.2,3.25,3.8,4,18,9,L,0
86,West Ham,Tottenham,1804,1813,0,1,A,8,15,13,7,7,18,L,0,4,2,8,10,10,6,3,0,0,0,4.1,3.9,1.9,7,9,9,L,0
87,Wolves,Watford,1757,1600,0,2,A,9,11,6,12,15,13,W,5,1,3,23,13,8,2,3,1,0,0,1.75,3.75,5.25,18,18,9,W,5
88,Everton,Crystal Palace,1759,1690,2,0,H,13,5,12,9,12,7,W,5,4,3,13,17,10,5,2,1,0,0,1.85,3.6,4.75,15,18,9,W,5
89,Arsenal,Leicester,1830,1802,3,1,H,19,14,10,12,18,12,W,5,6,2,10,10,6,4,2,2,0,0,1.53,4.5,6.5,1,20,9,W,5
90,Brighton,Wolves,1696,1757,1,0,H,10,9,13,8,11,15,W,5,1,7,11,8,1,10,3,0,0,0,3.2,3.2,2.5,18,18,10,W,5
91,Fulham,Bournemouth,1631,1600,0,3,A,11,16,25,12,5,17,L,0,1,5,16,3,5,5,2,1,1,0,2.9,3.75,2.4,13,18,10,L,0
92,Leicester,West Ham,1802,1804,1,1,D,15,8,15,14,12,7,L,0,7,3,17,5,8,0,1,1,0,1,2.1,3.5,3.8,20,7,10,L,0
93,Liverpool,Cardiff,1910,1600,4,1,H,16,8,3,19,23,5,W,5,7,1,6,4,8,0,0,0,0,0,1.11,11,26,2,18,10,W,5
94,Southampton,Newcastle,1693,1500,0,0,D,6,6,14,14,6,2,D,3,4,0,9,12,7,2,0,1,0,0,2.1,3.4,3.9,11,4,10,D,3
95,Watford,Huddersfield,1600,1600,3,0,H,13,4,12,18,16,3,W,5,6,7,9,13,3,3,1,2,0,0,1.75,3.75,5.25,18,18,10,W,5
96,Burnley,Chelsea,1711,1885,0,4,A,10,20,17,7,8,21,L,0,1,8,14,10,4,4,4,2,0,0,11,5,1.36,18,6,10,L,0
97,Crystal Palace,Arsenal,1690,1830,2,2,D,5,22,11,11,7,21,L,0,3,2,10,16,6,4,1,2,0,0,4.75,4.1,1.75,18,1,10,L,0
98,Man United,Everton,1600,1759,2,1,H,15,15,16,12,14,15,D,3,10,6,15,12,8,4,2,1,0,0,1.72,3.9,5.25,3,15,10,D,3
99,Tottenham,Man City,1813,2013,0,1,A,16,26,7,3,21,23,W,5,1,6,13,13,3,6,2,2,0,0,4.75,4.1,1.75,9,18,10,W,5
100,Arsenal,Liverpool,1830,1910,1,1,D,24,20,13,4,22,26,D,3,4,4,7,7,5,8,1,1,0,0,3.9,3.9,1.95,1,2,11,D,3
101,Bournemouth,Man United,1600,1600,1,2,A,19,17,12,17,20,17,W,5,7,8,12,12,9,5,4,3,0,0,3.6,3.7,2.1,18,3,11,W,5
102,Cardiff,Leicester,1600,1802,0,1,A,9,16,23,16,5,13,L,0,2,5,13,12,6,12,2,2,0,0,3.8,3.4,2.14,18,20,11,L,0
103,Everton,Brighton,1759,1696,3,1,H,16,11,14,13,15,14,L,0,3,3,9,17,6,4,0,1,0,0,1.61,4,6.5,15,18,11,L,0
104,Newcastle,Watford,1500,1600,1,0,H,6,16,14,12,3,19,D,3,2,1,12,11,8,9,1,5,0,0,2.75,3.25,2.8,4,18,11,D,3
105,West Ham,Burnley,1804,1711,4,2,H,9,10,15,21,8,8,D,3,10,3,7,9,10,4,1,4,0,0,1.75,3.75,5.25,7,18,11,D,3
106,Wolves,Tottenham,1757,1813,2,3,A,9,16,9,8,15,21,L,0,7,8,11,8,5,1,1,2,0,0,3.1,3.4,2.45,18,9,11,L,0
107,Chelsea,Crystal Palace,1885,1690,3,1,H,24,7,7,13,24,8,W,5,6,2,6,13,4,2,0,1,0,0,1.25,6.75,13,6,18,11,W,5
108,Man City,Southampton,2013,1693,6,1,H,27,6,3,14,26,7,W,5,8,6,14,9,4,4,1,1,0,0,1.11,11,29,18,11,11,W,5
109,Huddersfield,Fulham,1600,1631,1,0,H,4,11,21,28,3,5,L,0,2,1,11,8,5,4,1,2,0,0,2.3,3.5,3.3,18,13,11,L,0
110,Cardiff,Brighton,1600,1696,2,1,H,9,12,24,16,5,14,L,0,6,3,7,21,4,1,2,1,0,1,2.6,3.1,3.1,18,18,12,L,0
111,Crystal Palace,Tottenham,1690,1813,0,1,A,8,19,16,10,8,24,L,0,4,2,12,9,10,6,1,1,0,0,4.5,3.75,1.85,18,9,12,L,0
112,Huddersfield,West Ham,1600,1804,1,1,D,5,13,21,17,6,11,W,5,7,5,9,8,5,6,1,1,0,0,3.4,3.25,2.35,18,7,12,W,5
113,Leicester,Burnley,1802,1711,0,0,D,17,12,16,25,16,8,W,5,5,1,13,10,12,1,2,0,0,0,1.5,4.33,8,20,18,12,W,5
114,Newcastle,Bournemouth,1500,1600,2,1,H,7,20,14,14,6,20,W,5,6,4,9,11,7,10,2,1,0,0,2.9,3.4,2.6,4,18,12,W,5
115,Southampton,Watford,1693,1600,1,1,D,7,16,20,13,7,19,L,0,4,6,13,13,7,6,3,2,0,0,2.5,3.3,3.1,11,18,12,L,0
116,Arsenal,Wolves,1830,1757,1,1,D,25,11,14,12,23,15,D,3,3,5,9,16,11,2,2,2,0,0,1.66,4.2,5.25,1,18,12,D,3
117,Chelsea,Everton,1885,1759,0,0,D,27,19,8,15,27,18,W,5,4,1,7,11,5,5,4,3,0,0,1.4,5.25,8.5,6,15,12,W,5
118,Liverpool,Fulham,1910,1631,2,0,H,21,11,5,29,27,5,D,3,7,3,11,9,6,3,1,1,0,0,1.11,11,26,2,13,12,D,3
119,Man City,Man United,2013,1600,3,1,H,33,19,4,18,29,20,W,5,5,1,12,12,5,1,1,1,0,0,1.4,5.25,8.5,18,3,12,W,5
120,Brighton,Leicester,1696,1802,1,1,D,13,17,18,16,14,17,L,0,3,3,10,7,6,1,3,1,0,1,2.9,3.4,2.6,18,20,13,L,0
121,Everton,Cardiff,1759,1600,1,0,H,19,11,15,25,19,8,D,3,8,1,12,13,7,3,0,3,0,0,1.4,5,9,15,18,13,D,3
122,Fulham,Southampton,1631,1693,3,2,H,11,8,31,21,5,8,L,0,5,8,10,6,2,5,2,3,0,0,2.62,3.5,2.8,13,11,13,L,0
123,Man United,Crystal Palace,1600,1690,0,0,D,20,8,21,17,20,8,L,0,5,2,13,12,10,3,1,2,0,0,1.4,5.25,8,3,18,13,L,0
124,Tottenham,Chelsea,1813,1885,3,1,H,20,27,10,8,27,28,W,5,9,2,19,12,4,4,0,3,0,0,2.8,3.5,2.6,9,6,13,W,5
125,Watford,Liverpool,1600,1910,0,3,A,17,23,14,5,20,30,D,3,1,7,12,13,5,5,0,0,0,1,6.5,4.33,1.55,18,2,13,D,3
126,West Ham,Man City,1804,2013,0,4,A,14,36,18,5,12,32,D,3,1,6,6,3,8,1,0,0,0,0,13,6.5,1.25,7,18,13,D,3
127,Bournemouth,Arsenal,1600,1830,1,2,A,21,26,16,15,20,24,L,0,5,4,6,9,5,8,2,1,0,0,3.5,3.75,1.95,18,1,13,L,0
128,Wolves,Huddersfield,1757,1600,0,2,A,12,6,13,22,16,7,D,3,3,6,9,8,3,5,1,2,0,0,1.5,4.33,8,18,18,13,D,3
